iter	RMSE
128	226469.3553
129	225835.1093
130	225134.476
131	224886.1106
132	224496.4125
133	223837.888
134	223143.9702
135	222406.4648
136	221740.2466
137	221086.5154
138	220683.2274
139	220118.2572
140	219510.0639
141	218775.0277
142	218396.8675
143	217633.7525
144	217074.8279
145	216437.9579
146	215867.9608
147	215547.3497
148	215177.9681
149	214567.5401
150	213954.6841
151	213297.2836
152	212613.9446
153	212167.5908
154	211604.4501
155	211253.7231
156	210876.9375
157	210325.3957
158	209650.412
159	209035.5983
160	208378.4007
161	208003.0985
162	207638.7271
163	207246.6767
164	206595.4257
165	206191.2001
166	205551.6337
167	205006.5238
168	204617.3157
169	203956.9068
170	203643.7154
171	203139.7702
172	202790.017
173	202506.461
174	202102.9598
175	201547.4487
176	200868.2718
177	200191.4599
178	199573.6122
179	199199.5084
180	198891.7491
181	198555.5427
182	197892.8607
183	197240.5158
184	196760.0466
185	196181.5591
186	195826.3007
187	195468.9284
188	194916.7625
189	194381.5718
190	193879.0062
191	193367.6051
192	192944.5837
193	192486.1328
194	192152.4598
195	191698.7468
196	191280.3588
197	190690.622
198	190401.9227
199	190096.0453
200	189553.9286
201	189250.4443
202	188734.1275
203	188455.7941
204	188051.0965
205	187749.7627
206	187259.6734
207	186977.4795
208	186697.4684
209	186113.676
210	185813.7721
211	185254.1557
212	184789.0095
213	184219.6749
214	183742.2988
215	183380.7293
216	183085.4112
217	182827.5638
218	182555.6536
219	181969.2256
220	181445.3907
221	181187.2005
222	180744.0132
223	180312.4554
224	179993.4063
225	179424.1061
226	179027.9163
227	178764.3534
228	178220.9293
229	177751.3179
230	177155.7855
231	176849.0236
232	176561.094
233	176098.9539
234	175726.3491
235	175336.3089
236	175088.7843
237	174802.5189
238	174493.1323
239	174241.0689
240	173695.6894
241	173411.1276
242	172993.1999
243	172615.9777
244	172319.2311
245	172010.9814
246	171722.3713
247	171470.2618
248	170955.6089
249	170338.8536
250	169968.4293
251	169547.074
252	169215.1574
253	168814.9135
254	168579.0907
255	168249.7875
256	167887.7414
257	167356.6709
258	167123.2582
259	166836.9474
260	166429.4184
261	166070.7472
262	165849.8237
263	165580.7556
264	165165.6339
265	164590.2215
266	164433.4501
267	164043.1916
268	163550.586
269	163169.4968
270	162656.6617
271	162310.639
272	161872.6655
273	161643.7076
274	161452.5745
275	161162.5989
276	160799.8896
277	160339.4134
278	159913.4696
279	159680.0743
280	159326.8143
281	159001.4976
282	158746.5426
283	158490.2629
284	157973.563
285	157780.7027
286	157541.1511
287	157192.8325
288	156833.5342
289	156411.1728
290	156011.2583
291	155635.5631
292	155211.247
293	154914.1629
294	154480.8205
295	154283.2031
296	153979.8735
297	153545.9883
298	153051.1435
299	152853.2837
300	152467.0362
301	152257.8364
302	151781.3349
303	151613.9355
304	151376.1201
305	151057.4561
306	150729.0008
307	150568.137
308	150218.6619
309	149910.6927
310	149657.9446
311	149259.0142
312	149071.074
313	148714.6661
314	148385.8324
315	148108.5699
316	147775.6276
317	147567.2118
318	147373.5993
319	147044.68
320	146776.3566
321	146535.7253
322	146407.1542
323	146106.6925
324	145814.7912
325	145438.5257
326	145066.7689
327	144871.2175
328	144687.3586
329	144489.1125
330	144232.2475
331	144064.8347
332	143696.9097
333	143412.926
334	143181.9755
335	142848.5812
336	142532.7955
337	142344.9323
338	142159.5838
339	141973.6295
340	141739.1347
341	141444.067
342	141191.7964
343	140968.1461
344	140812.3753
345	140663.6692
346	140505.9565
347	140340.0908
348	140114.6471
349	139883.2674
350	139704.0573
351	139305.5489
352	139057.6553
353	138875.0583
354	138595.7504
355	138344.6
356	138099.5625
357	137853.7358
358	137648.799
359	137377.7335
360	137077.9505
361	136767.8137
362	136416.7858
363	136012.8
364	135881.9513
365	135711.3669
366	135578.7182
367	135277.3845
368	135081.9775
369	134847.6197
370	134498.2184
371	134219.7815
372	134079.0226
373	133785.5381
374	133477.1835
375	133148.7661
376	132863.9305
377	132732.5564
378	132426.2919
379	132138.2278
380	131897.0439
381	131765.4584
